"id","performer","song","genre","track_duration","track_explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
38230,"Sandy Nelson","...And Then There Were Drums","['rock-and-roll', 'space age pop', 'surf music']",172066,FALSE,0.588,0.672,11,-17.278,0,0.0361,0.00256,0.745,0.145,0.801,121.962,4
47413,"Tammy Wynette","'til I Can Make It On My Own","['country', 'country dawn', 'nashville sound']",182080,FALSE,0.45,0.294,7,-12.022,1,0.0318,0.832,3.53e-05,0.108,0.146,141.148,4
35432,"The Angels","'Til","['blues rock', 'garage rock', 'modern blues rock', 'neo-psychedelic', 'nu gaze', 'punk blues']",148440,FALSE,0.253,0.232,0,-12.695,1,0.0318,0.805,0.00018,0.0939,0.307,173.819,3
45147,"The Olympics","(Baby) Hully Gully","['doo-wop', 'rhythm and blues']",127829,FALSE,0.744,0.47,7,-10.295,1,0.035,0.659,0,0.256,0.908,116.233,4
58301,"The Miracles","(Come 'round Here) I'm The One You Need","['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']",150066,FALSE,0.545,0.607,0,-9.525,1,0.0347,0.242,0,0.779,0.767,113.88,4
50154,"Outlaws","(Ghost) Riders In The Sky","['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",351400,FALSE,0.228,0.896,9,-7.241,0,0.13,0.0132,0.0273,0.795,0.146,128.433,4
57883,"Harry Connick, Jr.","(I Could Only) Whisper Your Name","['adult standards', 'contemporary vocal jazz', 'lounge', 'vocal jazz']",289970,FALSE,0.682,0.572,5,-7.067,0,0.045,0.191,0.204,0.0504,0.844,89.083,4
43451,"Barbara Lynn","(I Cried at) Laura's Wedding","['classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",158213,FALSE,0.579,0.299,7,-8.729,1,0.0304,0.84,4.71e-05,0.117,0.194,89.463,3
49122,"The Olympics","(I Wanna) Dance With The Teacher","['doo-wop', 'rhythm and blues']",107317,FALSE,0.567,0.458,4,-15.353,1,0.0623,0.428,0.0412,0.356,0.829,85.189,4
21622,"Little Willie John","(I've Got) Spring Fever","['rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']",131533,FALSE,0.699,0.373,0,-12.653,1,0.0813,0.801,0.518,0.0764,0.73,134.923,4
21825,"Ronnie Dyson","(If You Let Me Make Love To You Then) Why Can't I Touch You?","['classic soul']",203746,FALSE,0.398,0.692,0,-8.596,1,0.045,0.496,0,0.394,0.65,93.907,4
56306,"The Intruders","(Love Is Like A) Baseball Game","['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']",165920,FALSE,0.654,0.539,0,-7.825,1,0.0274,0.748,0,0.168,0.849,88.978,4
40282,"Andy Gibb","(Love Is) Thicker Than Water","['adult standards', 'bubblegum pop', 'country rock', 'disco', 'mellow gold', 'soft rock']",255960,FALSE,0.586,0.463,6,-9.929,0,0.0252,0.129,7.08e-05,0.0757,0.551,96.479,4
58408,"Goose Creek Symphony","(Oh Lord Won't You Buy Me A) Mercedes Benz","['cosmic american']",196333,FALSE,0.486,0.41,4,-14.328,1,0.0457,0.744,0.00106,0.0775,0.926,88.824,4
41712,"U2","(Pride) In The Name Of Love","['irish rock', 'permanent wave', 'rock']",228426,FALSE,0.464,0.839,4,-7.106,1,0.0329,0.0016,0.000326,0.601,0.75,105.756,4
48111,"Cat Stevens","(Remember The Days Of The) Old Schoolyard","['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",164826,FALSE,0.648,0.581,10,-8.684,1,0.0495,0.485,0,0.565,0.61,146.185,4
